,src,dst,bandwidth,
119,43,8,89.36394691,
120,21,137,4.295380592,
121,84,48,0.005822182,
122,94,85,0.031161308,
123,26,68,116.7851906,
124,89,12,2.239965439,
125,131,101,3.721899986,
126,112,111,65.3884306,
127,57,63,0.432559967,
128,59,103,44.79092121,
129,92,137,0.01218605,
130,59,94,242.2851124,
131,119,25,0.520060539,
132,136,18,8.001106262,
133,68,71,843.9901152,
134,124,6,0.047647476,
135,68,77,58.3801527,
136,102,59,0.064905167,
137,85,73,16.2,
138,92,130,0.003193855,
139,5,54,0.014054298,
140,110,59,0.051316261,
141,30,27,0.002017021,
142,6,112,458.7031469,
143,112,115,0.001965523,
144,37,82,0.039680481,
145,30,69,48.30267048,
146,59,63,139.2619133,
147,6,7,865.8519201,
148,30,57,0.000624657,
149,68,105,358.3167248,
150,63,85,4.677124023,
151,59,124,1461.012548,
152,107,136,0.001021385,
153,37,47,0.151165962,
154,46,2,0.039696693,
155,68,129,1362.852161,
156,141,146,6.653212547,
157,95,68,0.039683342,
158,89,83,0.014694214,
159,130,59,0.047615051,
160,9,130,0.004088402,
161,21,30,41.60133171,
162,68,16,366.9065056,
163,36,0,0.00270462,
164,6,29,2077.311822,
165,87,68,20.55541515,
166,42,111,0.059105873,
167,10,6,0.06413269,
168,143,81,0.131457329,
169,85,25,0.020200729,
170,134,44,0.001385689,
171,20,129,0.039683342,
172,16,68,78.95515537,
173,62,46,0.053466797,
174,10,68,0.063097,
175,48,139,0.000657082,
176,23,81,0.048397064,
177,66,122,11.7292757,
178,97,63,0.000335693,
179,6,137,100.3158855,
180,28,88,0.015911102,
181,46,112,0.039685249,
182,6,64,1421.695004,
183,26,6,0.010684967,
184,68,88,310.5636339,
185,137,109,0.012102127,
186,95,28,0.039680481,
187,60,85,0.00402832,
188,126,59,0.064121246,
189,112,141,5.545881271,
190,18,107,6.952210426,
191,68,36,446.755353,
192,134,59,0.064433098,
193,20,125,0.039683342,
194,35,100,2.653906822,
195,20,41,0.039683342,
196,19,15,1.135540009,
197,95,10,0.039683342,
198,68,80,138.8520432,
199,96,72,0.000257492,
200,105,118,1.712767601,
201,43,23,1.81E-05,
202,95,31,0.039679527,
203,66,59,0.064126015,
204,46,59,0.061122894,
205,47,62,89.82417202,
206,52,62,26.15012741,
207,16,107,0.512288094,
208,12,37,8.702220917,
209,142,53,0.001188278,
210,119,44,0.010703087,
211,43,89,0.002129555,
212,57,68,20.23604012,
213,37,18,0.039705276,
214,89,129,25.53647518,
215,6,67,665.1969585,
216,68,101,59.86244011,
217,68,11,268.2901068,
218,48,79,7.72E-05,
219,70,105,0.009320259,
220,46,62,0.039707184,
221,6,41,18.54059315,
222,17,6,0.064106941,
223,24,59,0.047614098,
224,32,6,0.06415081,
225,20,104,0.037363052,
226,3,105,3.131480217,
227,9,96,0.003493309,
228,56,111,371.3252974,
229,63,92,0.012090683,
230,95,36,0.04944706,
231,7,46,4.10E-05,
232,107,59,0.073200226,
233,135,66,60.53830242,
234,46,4,0.039684296,
235,89,59,0.075421333,
236,68,74,642.5158682,
237,109,6,0.057929039,
238,93,43,33.76361465,
239,130,92,0.002780914,
240,37,71,0.048970222,
241,65,67,10.41202354,
242,85,63,14.44579792,
243,20,83,0.039683342,
244,36,111,247.4162397,
245,144,43,0.002492905,
246,3,23,0.010615349,
247,18,111,108.7669115,
248,3,36,0.00163269,
249,95,9,0.039679527,
250,53,75,27.32010937,
251,50,66,0.000728607,
252,45,144,29.80869579,
253,128,47,0.200396538,
254,120,130,0.01172924,
255,9,69,0.004355431,
256,55,111,107.3243284,
257,37,116,0.012237549,
258,95,108,0.039681435,
259,18,46,0.17677021,
260,68,37,6766.948487,
261,118,0,0.005781174,
262,6,43,845.250226,
263,96,57,0.000479698,
264,59,60,114.4726486,
265,54,138,0.400099754,
266,26,50,4.406500816,
267,94,44,0.012290001,
268,33,68,287.8693848,
269,37,80,0.039678574,
270,59,27,188.8270998,
271,50,37,0.006104469,
272,104,6,5.793084145,
273,95,84,0.039678574,
274,68,85,226.1049185,
275,18,112,0.005906105,
276,94,60,0.000383377,
277,95,122,0.039678574,
278,78,111,92.69681549,
279,76,141,0.000669479,
280,92,75,9.649909973,
281,60,57,0.265271187,
282,15,6,0.064120293,
283,59,141,386.9681406,
284,23,127,12.07839775,
285,100,46,0.03972435,
286,35,96,0.002055168,
287,134,94,0.000396729,
288,94,134,0.000391006,
289,59,139,4.981437683,
290,96,124,0.001307487,
291,36,127,2.462831497,
292,20,15,0.039684296,
293,144,62,0.00038147,
294,105,88,0.000478745,
295,45,6,0.067764282,
296,50,2,0.000299454,
297,22,59,0.064105034,
298,21,140,0.00039196,
299,55,16,0.000392914,
300,6,89,405.1570072,
301,6,35,462.4600182,
302,54,111,8.10327816,
303,104,48,0.003639221,
304,94,59,0.064116478,
305,92,63,0.012544632,
306,63,27,0.000198364,
307,73,29,0.014222145,
308,59,40,1639.56631,
309,113,93,0.031322479,
310,38,30,23.72166538,
311,57,111,198.6997433,
312,52,68,81.21104717,
313,71,68,235.5039482,
314,37,68,841.158618,
315,61,89,0.00038147,
316,79,58,30.87077141,
317,6,138,353.4660988,
318,39,12,0.001491547,
319,35,29,0.00478363,
320,81,3,0.411227226,
321,59,90,357.2690125,
322,46,99,0.039696693,
323,68,28,0.837627411,
324,115,61,0.000685692,
325,37,76,1.43E-05,
326,20,94,0.039685249,
327,128,59,0.066064835,
328,107,2,5.929848671,
329,21,25,0.01382637,
330,65,142,17.87409115,
331,46,113,57.66586304,
332,11,68,64.4598999,
333,104,76,10.18483162,
334,15,30,4.296994209,
335,20,78,0.039685249,
336,43,59,0.067339897,
337,142,36,0.114169121,
338,50,76,7.82E-05,
339,60,68,28.68588257,
340,6,87,183.8744164,
341,56,13,15.33126259,
342,93,8,0.002285004,
343,83,6,0.064094543,
344,2,68,91.06107521,
345,97,64,0.000722885,
346,95,63,0.039678574,
347,95,146,0.039680481,
348,0,36,0.002972603,
349,63,135,0.000734329,
350,95,121,0.039678574,
351,55,61,0.013167381,
352,105,127,0.014756203,
353,119,59,0.067818642,
354,48,76,0.001207352,
355,68,117,526.8663607,
356,62,111,95.97624016,
357,25,9,5.427038193,
358,95,25,0.039678574,
359,6,142,3771.713923,
360,20,102,0.039683342,
361,57,92,0.006196022,
362,89,68,167.3430243,
363,46,30,9.54E-07,
364,95,30,0.039678574,
365,143,3,4.519272804,
366,68,122,668.7841768,
367,30,96,0.000479698,
368,30,109,0.009595871,
369,71,2,0.017869949,
370,116,135,0.038015366,
371,41,22,77.83861637,
372,6,113,184.471694,
373,122,6,0.070224762,
374,20,47,0.039683342,
375,69,59,0.064123154,
376,11,6,0.064138412,
377,6,80,0.486151695,
378,134,19,18.32081032,
379,6,108,33.39450073,
380,20,110,0.039682388,
381,124,37,0.06348896,
382,6,126,196.8162956,
383,61,58,7.378717422,
384,46,22,0.076861382,
385,59,119,370.343914,
386,96,112,0.000594139,
387,85,57,0.019382477,
388,39,113,2.359373093,
389,68,8,2855.721711,
390,128,6,0.064155579,
391,49,61,0.009489059,
392,95,56,0.039679527,
393,95,99,0.039683342,
394,137,59,0.067802429,
395,95,85,0.039679527,
396,95,49,0.039683342,
397,83,68,19.41557503,
398,20,18,0.038484573,
399,35,115,0.002001762,
400,130,29,0.01084137,
401,116,76,33.86394596,
402,68,48,131.7300444,
403,51,79,0.027997017,
404,104,51,0.058383942,
405,58,146,18.96179676,
406,57,64,6.683917999,
407,51,7,45.97651577,
408,107,37,0.053440094,
409,113,12,0.003023148,
410,27,140,5.847806931,
411,138,50,0.004441261,
412,20,111,0.039685249,
413,37,46,16.75966263,
414,12,89,1.24578476,
415,3,70,0.003055573,
416,55,11,49.25045013,
417,52,40,0.00833416,
418,40,68,416.9506197,
419,95,60,0.039678574,
420,40,124,146.1226988,
421,68,17,0.067819595,
422,39,6,0.064124107,
423,61,104,12.04192638,
424,55,112,13.20547104,
425,130,79,0.000716209,
426,68,127,0.107590675,
427,61,129,0.028347969,
428,20,143,0.039685249,
429,139,6,0.022628784,
430,137,92,0.011395454,
431,59,92,245.5679779,
432,44,29,0.065664291,
433,68,43,772.0184574,
434,76,37,7.63E-06,
435,128,111,45.90705299,
436,71,37,0.053453445,
437,141,112,19.29743481,
438,143,118,0.313385963,
439,99,68,99.8585186,
440,100,37,0.039721489,
441,48,51,5.622842789,
442,144,59,0.069137573,
443,90,6,0.070781708,
444,115,35,0.00304985,
445,28,101,0.002710342,
446,37,52,0.039678574,
447,17,37,0.053422928,
448,95,11,0.039680481,
449,4,37,0.053435326,
450,66,37,4.01E-05,
451,95,76,0.039679527,
452,95,120,2.063978195,
453,108,111,10.27085686,
454,115,141,0.000941277,
455,37,100,0.039690018,
456,20,75,0.039682388,
457,6,69,384.9184914,
458,5,6,0.064121246,
459,0,50,0.080488205,
460,16,6,0.064084053,
461,45,68,151.0682096,
462,20,93,0.039683342,
463,127,68,0.047627449,
464,134,9,0.000676155,
465,77,72,0.00199604,
466,57,96,0.000487328,
467,80,68,40.45096397,
468,53,6,0.072720528,
469,65,56,0.006948471,
470,24,97,0.001002312,
471,99,111,5.614988327,
472,76,66,8.58E-06,
473,14,21,9.790249825,
474,32,111,0.059485435,
475,55,46,0.080153465,
476,109,38,0.000336647,
477,88,118,0.000552177,
478,6,104,1138.198291,
479,146,13,83.60752392,
480,94,68,58.47931099,
481,46,124,0.041339874,
482,87,30,15.26343822,
483,95,8,0.039683342,
484,142,16,0.000481606,
485,60,65,0.001378059,
486,95,140,0.039679527,
487,96,137,0.001935005,
488,68,38,43.48712158,
489,58,112,37.01976681,
490,59,13,7.088544846,
491,54,59,0.051299095,
492,59,2,11.50995827,
493,94,119,0.65541172,
494,106,111,64.86625099,
495,95,128,0.039683342,
496,95,43,0.039683342,
497,106,68,0.048870087,
498,115,104,22.4265604,
499,96,79,0.004281998,
